Summary
-------

Measuring unpaused time only

elapsed  2645611 ms (44m 5s)
 dfhack   170732 ms (  6.45% of elapsed)


DFHack details
--------------

                     orders.skillrestrictions       32 ms (  0.02% of overlay,   0.00% of elapsed)
                      gui/mass-remove.toolbar       31 ms (  0.02% of overlay,   0.00% of elapsed)
                          zone.retirelocation       31 ms (  0.02% of overlay,   0.00% of elapsed)
                          dig.warmdamptoolbar       31 ms (  0.02% of overlay,   0.00% of elapsed)

                                    framework    50002 ms ( 36.93% of overlay,   1.89% of elapsed)
                                all subtimers    85410 ms ( 63.07% of overlay,   3.23% of elapsed)


ZScreen details
---------------

                                     launcher      297 ms (100.00% of zscreen,   0.01% of elapsed)

                                    framework        0 ms (  0.00% of zscreen,   0.00% of elapsed)
                                all subtimers      297 ms (100.00% of zscreen,   0.01% of elapsed)
